"REF_DATE","GEO","DGUID","Funder","Performer","Science type","Prices","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","2","","","","0"
"2003","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","2","","","","0"
"2004","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","2","","","","0"
"2005","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","4","","","","0"
"2006","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","4","","","","0"
"2007","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","2","","","","0"
"2008","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","2","","","","0"
"2009","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","1","","","","0"
"2010","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","6","","","","0"
"2011","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2012","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2013","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2014","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2015","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2016","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2017","Canada","2016A000011124","Funder: federal government sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v5975176","1.2.3.2.1","","..","","","0"
"2000","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","2","","","","0"
"2001","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2002","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2003","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2004","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2005","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2006","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2007","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","2","","","","0"
"2008","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","3","","","","0"
"2009","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","2","","","","0"
"2010","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","3","","","","0"
"2011","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2012","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2013","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2014","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2015","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2016","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2017","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2018","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2019","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2020","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2021","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2022","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2023","Canada","2016A000011124","Funder: federal government sector","Performer: provincial research organizations sector","Total sciences","Current prices","Dollars","81","millions","6","v617527","1.2.4.2.1","1","","","","0"
"2000","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","239","","","","0"
"2001","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","457","","","","0"
"2002","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","300","","","","0"
"2003","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","299","","","","0"
"2004","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","271","","","","0"
"2005","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","323","","","","0"
"2006","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","260","","","","0"
"2007","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","253","","","","0"
"2008","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","319","","","","0"
"2009","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","305","","","","0"
"2010","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","427","","","","0"
"2011","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","452","","","","0"
"2012","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","344","","","","0"
"2013","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","366","","","","0"
"2014","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","511","","","","0"
"2015","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","542","","","","0"
"2016","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","790","","","","0"
"2017","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","1026","","","","0"
"2018","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","963","","","","0"
"2019","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","935","","","","0"
"2020","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","1344","","","","0"
"2021","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","1368","","","","0"
"2022","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","1415","","","","0"
"2023","Canada","2016A000011124","Funder: federal government sector","Performer: business enterprise sector","Total sciences","Current prices","Dollars","81","millions","6","v617625","1.2.6.2.1","1450","","","","0"
"2000","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","1293","","","","0"
"2001","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","1587","","","","0"
"2002","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","1817","","","","0"
"2003","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2182","","","","0"
"2004","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2337","","","","0"
"2005","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2542","","","","0"
"2006","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2488","","","","0"
"2007","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2720","","","","0"
"2008","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2811","","","","0"
"2009","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","2932","","","","0"
"2010","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3064","","","","0"
"2011","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3165","","","","0"
"2012","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3211","","","","0"
"2013","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3109","","","","0"
"2014","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3020","","","","0"
"2015","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3028","","","","0"
"2016","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3170","","","","0"
"2017","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3331","","","","0"
"2018","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3587","","","","0"
"2019","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","3789","","","","0"
"2020","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","4167","","","","0"
"2021","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","4038","","","","0"
"2022","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","4084","","","","0"
"2023","Canada","2016A000011124","Funder: federal government sector","Performer: higher education sector","Total sciences","Current prices","Dollars","81","millions","6","v617680","1.2.7.2.1","4125","","","","0"
"2000","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","3","","","","0"
"2001","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","6","","","","0"
"2002","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","6","","","","0"
"2003","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","15","","","","0"
"2004","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","12","","","","0"
"2005","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","41","","","","0"
"2006","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","39","","","","0"
"2007","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","48","","","","0"
"2008","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","51","","","","0"
"2009","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","27","","","","0"
"2010","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","26","","","","0"
"2011","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","30","","","","0"
"2012","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","36","","","","0"
"2013","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","38","","","","0"
"2014","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","38","","","","0"
"2015","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","34","","","","0"
"2016","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","24","","","","0"
"2017","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","35","","","","0"
"2018","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","40","","","","0"
"2019","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","39","","","","0"
"2020","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","39","","","","0"
"2021","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","48","","","","0"
"2022","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","44","","","","0"
"2023","Canada","2016A000011124","Funder: federal government sector","Performer: private non-profit sector","Total sciences","Current prices","Dollars","81","millions","6","v617751","1.2.8.2.1","44","","","","0"
"2000","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","856","","","","0"
"2001","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1023","","","","0"
"2002","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1154","","","","0"
"2003","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1356","","","","0"
"2004","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1372","","","","0"
"2005","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1359","","","","0"
"2006","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1468","","","","0"
"2007","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1472","","","","0"
"2008","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1552","","","","0"
"2009","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1657","","","","0"
"2010","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1692","","","","0"
"2011","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1788","","","","0"
"2012","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1993","","","","0"
"2013","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1881","","","","0"
"2014","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1829","","","","0"
"2015","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1741","","","","0"
"2016","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1721","","","","0"
"2017","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1802","","","","0"
"2018","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1923","","","","0"
"2019","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","2088","","","","0"
"2020","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","1837","","","","0"
"2021","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","2107","","","","0"
"2022","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","2142","","","","0"
"2023","Canada","2016A000011124","Funder: provincial governments sector","Performer: total, all sectors","Total sciences","Current prices","Dollars","81","millions","6","v13682135","1.3.1.2.1","2174","","","","0"
"2000","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","6","","","","0"
"2001","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","5","","","","0"
"2002","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","13","","","","0"
"2003","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","10","","","","0"
"2004","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","9","","","","0"
"2005","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","9","","","","0"
"2006","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","8","","","","0"
"2007","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","9","","","","0"
"2008","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","9","","","","0"
"2009","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","5","","","","0"
"2010","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","4","","","","0"
"2011","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","4","","","","0"
"2012","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","4","","","","0"
"2013","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","1","","","","0"
"2014","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","4","","","","0"
"2015","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","1","","","","0"
"2016","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","","0s","","","0"
"2017","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","1","","","","0"
"2018","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","1","","","","0"
"2019","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","2","","","","0"
"2020","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","1","","","","0"
"2021","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","2","","","","0"
"2022","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","4","","","","0"
"2023","Canada","2016A000011124","Funder: provincial governments sector","Performer: federal government sector","Total sciences","Current prices","Dollars","81","millions","6","v5975178","1.3.2.2.1","1","","","","0"
"2000","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","164","","","","0"
"2001","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","222","","","","0"
"2002","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","225","","","","0"
"2003","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","226","","","","0"
"2004","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","236","","","","0"
"2005","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","246","","","","0"
"2006","Canada","2016A000011124","Funder: provincial governments sector","Performer: provincial governments sector","Total sciences","Current prices","Dollars","81","millions","6","v617506","1.3.3.2.1","274","","","","0"
